layer,task,probe,accuracy,accuracy_std,f1_macro,n
38,Binary bypass,linear,0.7759776029850186,0.030554279506356974,0.7571085562860145,2000
38,Binary bypass,mlp,0.7794564309776937,0.025708288619241213,0.7457162908308643,2000
38,Binary faithful,linear,0.7234880655504097,0.015420181872576709,0.5830862904743578,2000
38,Binary faithful,mlp,0.8490096375602347,0.008442086054883193,0.5886478672872516,2000
39,3-class (A/B/C),linear,0.6725216379617297,0.018079079483183595,0.5798608683869328,2000
39,3-class (A/B/C),mlp,0.7374937324701563,0.022247679266024292,0.5519695518796605,2000
39,Binary bypass,linear,0.7869751592197451,0.02137624378699217,0.7672721161196273,2000
39,Binary bypass,mlp,0.7794576591103695,0.027474027051415658,0.7439863505361026,2000
39,Binary faithful,linear,0.7409980968631055,0.007234109590320337,0.5996125922859161,2000
39,Binary faithful,mlp,0.8444996249976562,0.014179285097926876,0.5811102344910898,2000
40,3-class (A/B/C),linear,0.6779955527707123,0.011975101234192693,0.5824171886719434,2000
40,3-class (A/B/C),mlp,0.7340149047573339,0.0214706277562944,0.5662592833128745,2000
40,Binary bypass,linear,0.7819864061650386,0.017263654502830482,0.7630326129738656,2000
40,Binary bypass,mlp,0.777007621922637,0.01244775223019926,0.7418323314385529,2000
40,Binary faithful,linear,0.7414981406133788,0.018088755643311742,0.6034926549306345,2000
40,Binary faithful,mlp,0.8460046250289064,0.005009330221867771,0.5459038389122013,2000
41,3-class (A/B/C),linear,0.6650016935740177,0.02118673456435887,0.5633463652664856,2000
