layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
28,Binary bypass (A vs non-A),mlp,0.8042901866705835,0.008237378939953816,0.7414528367747695,0.01164070855893884,4287
28,Binary faithful (C vs non-C),linear,0.6673659673659673,0.016549415380061713,0.6553659298219434,0.014866275347651657,4287
28,Binary faithful (C vs non-C),mlp,0.6918580835733694,0.005137785560671676,0.6478752700825905,0.007381134244343676,4287
29,3-class (A/B/C),linear,0.6008902416136955,0.008399836870492476,0.6029643930535801,0.00816689366827357,4287
29,3-class (A/B/C),mlp,0.5740687550489184,0.02284166420704772,0.5764630524860943,0.02224642510662569,4287
29,Binary bypass (A vs non-A),linear,0.7697652405937119,0.019277302657079907,0.7376682622713983,0.019777254629846627,4287
29,Binary bypass (A vs non-A),mlp,0.7958947703405113,0.009122615570745628,0.7323591477622562,0.01218118303823475,4287
29,Binary faithful (C vs non-C),linear,0.6652661612988334,0.01798623572722699,0.6531465118362864,0.015342622491947695,4287
29,Binary faithful (C vs non-C),mlp,0.684862900615526,0.008514098173227829,0.6442962829406189,0.009762546811258547,4287
30,3-class (A/B/C),linear,0.5882930371845191,0.009232323194042878,0.5911958117657982,0.009435431172605738,4287
30,3-class (A/B/C),mlp,0.5698658789673959,0.019138992784268206,0.5722809114668478,0.018989555136353985,4287
30,Binary bypass (A vs non-A),linear,0.7669664058228819,0.017998163722975812,0.7354434852365109,0.01839071745557264,4287
30,Binary bypass (A vs non-A),mlp,0.8010281433852029,0.012912926124295196,0.7391769110995854,0.016793360553154446,4287
30,Binary faithful (C vs non-C),linear,0.662934614976622,0.017934771221105962,0.6507395994918685,0.015140571240071808,4287
30,Binary faithful (C vs non-C),mlp,0.6806654644460945,0.005703813692275601,0.643846354399954,0.011051904739124499,4287
31,3-class (A/B/C),linear,0.5920278088306093,0.013199647832199434,0.5940249166248869,0.013435993961013921,4287
31,3-class (A/B/C),mlp,0.5605345257620636,0.017357864341522315,0.5627821548366525,0.017148533186926235,4287
31,Binary bypass (A vs non-A),linear,0.7676667945046008,0.012580332309887296,0.736897554261621,0.012926148665866655,4287
31,Binary bypass (A vs non-A),mlp,0.8005589509673523,0.01188117924357558,0.7370908955304721,0.022841611080638414,4287
31,Binary faithful (C vs non-C),linear,0.6689984849844827,0.016357820894992946,0.6565315426171099,0.014477202267826256,4287
31,Binary faithful (C vs non-C),mlp,0.6864954182340413,0.008659363423689607,0.6430575892739421,0.011014412961496623,4287
